0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180
Navn;FoodId;Svind;Energi, kJ;Energi, kcal;Proteinomregningsfaktor(NCF);total-N;Protein, total;Protein, deklaration;Kulhydrat best. v/diff.;Kulhydrat, tilgængelig;kulhydrat, deklaration;Tilsat sukker;Kostfibre;Fedt, total;Fedtsyrekonverteringsfaktor (FCF);Alkohol;Aske;Tørstof;Vand;A-vitamin;Retinol;ß-caroten;D-vitamin;D3 cholecalciferol;25-hydroxycholecalciferol;E-vitamin;alfa-tokoferol;gamma-tokoferol;delta-tokoferol;alfa-tokotrienol;K1-vitamin;B1-vitamin;thiamin;HET, hydroxyethylthiazole;B2-vitamin, riboflavin;Niacin;niacin2;B6-vitamin;Pantothensyre;Biotin;Folat;Frit folat;B12-vitamin;C-vitamin;L-ascorbinsyre;L-dehydroascorbinsyre;Chlorid, Cl;Natrium, Na;Kalium, K;Calcium, Ca;Magnesium, Mg;Phosphor, P;Jern, Fe;Kobber, Cu;Zink, Zn;Jod, I;Mangan, Mn;Chrom, Cr;Selen, Se;Molybdæn, Mo;Cobolt, Co;Nikkel, Ni;Kviksølv, Hg;Arsen, As;Cadmium, Cd;Bly, Pb;Tin, Sn;L-mælkesyre;D-mælkesyre;Mælkesyre, total;Citronsyre;Oxalsyre;Æblesyre;Eddikesyre;Benzoesyre;Organiske syrer, tot.;Histamin;Tyramin;Phenylethylamin;Putrescin;Cadaverin;Spermin;Spermidin;Serotonin;Fructose;Galaktose;Glucose;Monosaccharider, total;Lactose;Maltose;Saccharose;Disaccharider, total;Raffinose;Andre sukkerarter;Sukkerarter, ialt;Sorbitol;Mannitol;Inositol;Maltitol;Sukkeralkoholer, total;Stivelse;(a)Hexoses;(b)Pentoses;(c)UronicAcids;Cellulose;Lignin;Crude fibre;Neutr.Det.Fibre (NDF);C4:0;C6:0;C8:0;C10:0;C12:0;C14:0;C15:0;C16:0;C17:0;C18:0;C20:0;C22:0;C24:0;Andre mætt.;C14:1,n-5;C15:1;C16:1,n-7;C16:1,trans;C17:1,n-7;C18:1,n-9;C18:1,n-7;C18:1,trans n-9;C20:1,n-9;C20:1,n-11;C20:1,trans;C22:1,n-9;C22:1,n-11;C22:1,trans;C24:1,n-9;Andre monoumætt.;C18:2,n-6;C18:2,conj-A, udifferentieret;C18:2,trans, udifferentieret;C18:3,n-3;C18:3,n-6;C18:4,n-3;C20:2,n-6;C20:4,n-3;C20:3,n-3;C20:3,n-6;C20:4,n-6;C20:5,n-3;C22:5,n-3;C22:6,n-3;Andre polyumættede;Andre fedtsyrer;Sum mættede;Sum monoumættede;Sum polyumættede;Fedtsyrer, total;Sum n-3 fedtsyrer;Sum n-6 fedtsyrer;Transfedtsyrer, total;Cholesterol;Isoleucin;Leucin;Lysin;Methionin;Cystin;Phenylalanin;Tyrosin;Threonin;Tryptofan;Valin;Arginin;Histidin;Alanin;Asparaginsyre;Glutaminsyre;Glycin;Prolin;Serin
A38, acidophilus tykmælk;0;0;283;68;6,38;0,765;4,9;4,8;4,5;4,5;4,6;0;0;3,5;0,945;0;0,9;13,7;86,3;23,3;22;15;0,1;0,1;;0,075;0,075;;;;0;0,04;;;0,215;1,22;0,105;0,041;0,305;1,1;6,2;;0,295;0,3;0,3;;0,085;35,5;153;126;12,3;100;0,026;0,015;0,54;9,05;0,007;0,09;2,85;5;;0,385;;;0,002;0,089;;0,91;0,05;0,96;0,03;;;;;0,99;;;;;;;;;0;0;0;0;3,52;0;0;3,52;;0;3,52;;;;;;0;;;;;;;;0,11;0,085;0,045;0,11;0,12;0,335;0,035;0,885;;0,35;;;;;0,03;;0,045;;;0,515;0,02;0,105;;;;;;;;;0,05;0,015;0,025;0,02;;;;;;;;;;;;0,035;2,075;0,715;0,11;2,935;0,02;0,05;0,105;14;260;505;436;122;31;237;237;214;67;344;161;130;161;390;933;107;474;30
A38, acidophilus tykmælk, med citronsaft (HISTORISK);1;0;315;75;6,38;0,765;4,9;4,8;8,7;6,4;6,5;4;0;3,5;0,945;0;0,8;15,5;84,5;31,3;30;15;0,1;0,1;;0,09;0,09;;;;0;0,037;;;0,18;1,21;0,088;0,043;0,28;1,8;6,2;;0,23;0,2;0,2;;;35,5;153;126;12,3;100;0,05;0,01;0,44;10,7;0,01;0,052;1,3;5;;0,705;;;0,002;0,089;;0,91;0,05;0,96;0,03;;;;;0,99;;;;;;;;;0;0;0;0;3,52;0;3,98;7,5;;0;7,5;;;;;;0;;;;;;;;0,117;0,075;0,049;0,107;0,134;0,381;;1,023;;0,348;;;;;0,049;;0,075;;;0,765;;;;0,039;;;;;;;0,072;;;0,026;;;;;;;;;;;;;2,234;0,928;0,098;3,26;0,026;0,072;0;14;260;505;436;122;31;237;237;214;67;344;161;130;161;390;933;107;474;12
Ab-mælk, syrnet sødmælk;2;0;265;63;6,38;0,549;3,5;3,4;4,5;4,5;4,6;0;0;3,6;0,945;0;0,8;12,4;87,6;32,3;31;16;0,1;0,1;;0,09;0,09;;;;;0,045;;;0,203;0,87;0,087;0,038;0,28;1,8;6;;0,18;0,3;0,3;;;35,5;153;127;12,7;95;0,05;0,015;0,54;10,7;0,009;0,052;1,3;3;;2;0,03;0,3;0,002;0,089;;0,89;0,03;;0,02;;;;;0,94;;;;;;;;;0;0,06;0;0,06;3,78;0;0;3,78;;;3,84;;;;;;0;0;0;0;0;0;;;0,122;0,078;0,051;0,112;0,139;0,398;;1,069;;0,364;;;;;0,051;;0,078;;;0,798;;;;0,041;;;;;;;0,075;;;0,027;;;;;;;;;;;;;2,333;0,968;0,102;3,403;0,027;0,075;0;14;192;340;302;88;21;170;165;143;47;236;121;93;115;280;664;77;329;60
Aborre, rå;3;55;327;78;6,25;2,896;16,4;16,4;0;0;0;0;0;1,3;0,823;0;1,3;19;81;0;0;0;0,8;;;1,2;1,2;;;;0;0,07;;;0,07;4;4;;;;;;;0;0;;;54;330;110;26;240;0,6;0,023;0,52;18;0,062;8,6;24;5;0,5;8;20;2,3;0,6;5;;;;;;;;;;;;;;;;;;;;;;;0;;0;0;;0;0;;;;;;0;;;;;;;;;;;;0;0,032;;0,402;;0,095;;;;0,021;;;;;;;;;;;;;;;;0,434;0,053;;;0,032;;;;;;;;;;;;;0,55;0,434;0,085;1,069;0,032;0,053;0;60;;;;;;;;;;;;;;;;;;71
Abrikos, konserves, let sukkerlage;4;0;289;69;6,25;0,085;0,5;0,5;17,1;15,6;15,6;14,9;1,5;0,1;0,7;0;0,4;18,1;81,9;65,4;0;785;0;0;;0,89;0,89;;;;;0,016;;;0,02;0,454;0,304;0,054;0,092;;2;;0;2,7;2,7;;;4;138;11;8;13;0,39;0,079;0,11;;0,052;12;0,2;0;;;;;;;;;;;;;;;;;;0,1;;;;;;;;;;;;;;;;;14,9;;;;;;0;;;;;;;;0;0;0;0;0;0;;0,003;;0;;;;;;;0;;;0,022;;;;0;;0;;;;;0,01;;;0;;0;;;;;0;0;0;0;;;0,003;0,022;0,01;0,035;0;0,01;0;0;16;31;37;2;2;21;12;20;9;20;20;9;26;121;54;16;31;
Abrikos, konserves, uden tilsat sukker;5;0;113;27;6,25;0,114;0,7;0,7;6,4;4,9;4,9;0;1,5;0,2;0,7;0;0,4;7,6;92,4;90,5;0;1086;0;0;;0,89;0,89;;;;;0,021;;;0,023;0,612;0,395;0,054;0,092;;2;;0;3,4;3,4;;;3;192;8;7;13;0,32;0,082;0,11;;0,053;12;0,2;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,3;;;;;;0;;;;;;;;;;;;;;;0,002;;;;;;;;;;;;0,013;;;;;;;;;;;0,006;;;;;;;;;;;;;;;;;;;;;;;0;22;41;49;3;2;29;16;26;13;26;27;11;35;162;72;22;42;193
Abrikos, rå;6;12;170;41;6,25;0,209;1,3;1,3;8,9;7,3;7,3;0;1,6;0,3;0,7;0;0,7;11,2;88,8;131;0;1570;0;0;;;;;;;;0,03;;;0,04;0,833;0,6;0,054;0,24;;9;;0;10;10;;;1;259;14,2;10;21,9;0,39;0,078;0,2;;0,077;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0,6;1,32;0;0;0;0;0;0;;0,018;;0,002;;;;;;;0;;;0,13;;;;0;;0;;;;;0,059;;;0;;0;;;;;0;0;0;0;;;0,02;0,13;0,059;0,209;0;0,059;0;0;38;71;90;6;3;48;27;44;14;44;42;25;63;293;146;38;94;296
Abrikos, tørret;7;0;1117;267;6,25;0,565;3,5;3,5;63,4;54,1;54,1;0;9,3;1,7;0,8;0;2,8;71,4;28,6;199;0;2390;0;0;;4;4;;;;;0;;;0,06;3,1;2,8;0,17;0,7;1;14;10;0;1;1;;;21;1026;67,5;41;65,7;6;0,27;0,2;3,4;0,235;80;2,2;;;120;0,2;0,5;1,2;2,6;;;;;;;;;2,5;;;0;;;;;;0,06;4,5;;8,1;12,6;;;29,3;29,3;;;41,9;;;;;;0;;;;;;2,95;;0;0;0;0;0;0;0;0,118;0;0,017;0;0;0;;0;;0;;;0,844;;;;0;;0;;;;;0,381;;;0;;0;;;;;0;0;0;0;;;0,135;0,844;0,381;1,36;0;0,381;0;0;96;164;141;23;2;96;44;79;18;141;73;54;124;701;147;85;938;172
Abrikosmarmelade;8;0;938;224;6,25;0,064;0,4;0,4;55;53,7;53,7;46;1,3;0,2;0,8;0;0,4;56;44;;;;;;;;;;;;;;;;;0,067;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;49;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;12;22;28;2;1;15;8;13;4;13;13;8;19;90;45;12;29;16
